old_fqcn,new_fqcn
Ecotone\Messaging\Channel\CombinedMessageChannel,Ecotone\Api\ExtensionObject\CombinedMessageChannel
Ecotone\Messaging\Endpoint\PollingMetadata,Ecotone\Api\ExtensionObject\PollingMetadata
Ecotone\Messaging\Endpoint\ExecutionPollingMetadata,Ecotone\Api\ExtensionObject\ExecutionPollingMetadata
Ecotone\Modelling\Config\InstantRetry\InstantRetryConfiguration,Ecotone\Api\ExtensionObject\InstantRetryConfiguration
Ecotone\Messaging\Handler\Recoverability\ErrorHandlerConfiguration,Ecotone\Api\ExtensionObject\ErrorHandlerConfiguration
Ecotone\Lite\Test\TestConfiguration,Ecotone\Api\ExtensionObject\TestConfiguration
Ecotone\Dbal\Configuration\DbalConfiguration,Ecotone\Api\Dbal\ExtensionObject\DbalConfiguration
Ecotone\Dbal\DbalBackedMessageChannelBuilder,Ecotone\Api\Dbal\ExtensionObject\DbalBackedMessageChannelBuilder
Ecotone\Dbal\Configuration\DbalMessagePublisherConfiguration,Ecotone\Api\Dbal\ExtensionObject\DbalMessagePublisherConfiguration
Ecotone\Dbal\DbalConnectionReference,Ecotone\Api\Dbal\ExtensionObject\DbalConnectionReference
Ecotone\Dbal\Recoverability\DbalDeadLetterBuilder,Ecotone\Api\Dbal\ExtensionObject\DbalDeadLetterBuilder
Ecotone\Dbal\MultiTenant\MultiTenantConfiguration,Ecotone\Api\Dbal\ExtensionObject\MultiTenantConfiguration
Ecotone\Dbal\OutboxForwardingMessageChannel,Ecotone\Api\Dbal\ExtensionObject\OutboxForwardingMessageChannel
Ecotone\Amqp\AmqpBackedMessageChannelBuilder,Ecotone\Api\Amqp\AmqpBackedMessageChannelBuilder
Ecotone\Amqp\Publisher\AmqpMessagePublisherConfiguration,Ecotone\Api\Amqp\AmqpMessagePublisherConfiguration
Ecotone\Kafka\Channel\KafkaMessageChannelBuilder,Ecotone\Api\Kafka\KafkaMessageChannelBuilder
Ecotone\Kafka\Configuration\KafkaBrokerConfiguration,Ecotone\Api\Kafka\KafkaBrokerConfiguration
Ecotone\Kafka\Configuration\KafkaPublisherConfiguration,Ecotone\Api\Kafka\KafkaPublisherConfiguration
Ecotone\JMSConverter\JMSConverterConfiguration,Ecotone\Api\JMSConverter\JMSConverterConfiguration
Ecotone\EventSourcing\EventSourcingConfiguration,Ecotone\Api\EventSourcing\EventSourcingConfiguration
Ecotone\Laravel\Config\LaravelConnectionReference,Ecotone\Api\Laravel\LaravelConnectionReference
Ecotone\Laravel\Queue\LaravelQueueMessageChannelBuilder,Ecotone\Api\Laravel\LaravelQueueMessageChannelBuilder
Ecotone\SymfonyBundle\Config\SymfonyConnectionReference,Ecotone\Api\Symfony\SymfonyConnectionReference
Ecotone\SymfonyBundle\Messenger\SymfonyMessengerMessageChannelBuilder,Ecotone\Api\Symfony\SymfonyMessengerMessageChannelBuilder
Ecotone\Tempest\Config\TempestConnectionReference,Ecotone\Api\Tempest\TempestConnectionReference
Ecotone\Redis\RedisBackedMessageChannelBuilder,Ecotone\Api\Redis\RedisBackedMessageChannelBuilder
Ecotone\Redis\Configuration\RedisMessagePublisherConfiguration,Ecotone\Api\Redis\RedisMessagePublisherConfiguration
Ecotone\Sqs\SqsBackedMessageChannelBuilder,Ecotone\Api\Sqs\SqsBackedMessageChannelBuilder
